Wie viele Klassen gibt es in der Schule?;31;25;42;30;26;Es gibt heuer zum ersten mal 7 erste Klassen.;Allgemein;How many classes are in our school?;31;25;42;30;26;This year there are 7 first classes for the first time.;General
Wie viele Lehrer gibt es an der Schule?;88;95;82;69;106;Der Durchschnitt der Werte von den Antwortmöglichkeiten.;Allgemein;How many teachers are in our school?;88;95;82;69;106;The average of the values of the answers.;General
Welche Farbe steht für die Informatik-Abteilung?;blau;rot;gelb;violett;grün;Suche ein Informatik Schild.;Allgemein;What color represents the Computing Department?;blue;red;yellow;violet;green;Look for a computing sign.;General
Welche Farbe steht für die Automatisierungs-Abteilung?;rot;blau;gelb;violett;grün;Suche ein Automatisierung Schild.;Allgemein;What color represents the Automation Department?;red;blue;yellow;violet;green;Look for an automation sign.;General
Welche Farbe steht für die Mechatronik-Abteilung?;gelb;rot;blau;violett;grün;Suche ein Mechatronik Schild.;Allgemein;What color represents the Mechatronics Department?;yellow;red;blue;violet;green;Look for a mechatronics sign.;General
Darf man in der Schule rauchen, wenn ja, wo?;nirgends;im Raucherraum;im Schulhof;am Klo;im Kantinen-Bereich;Es gelten die gleichen Regeln wie auf einer Ölbohrinsel.;Allgemein;Is smoking allowed in school, if so, where?;nowhere;in the smoking area;at the playground;on the toilets;at the cafeteria;Same rules as when you're on an offshore oil rig.;General
Welcher ist der größte Raum der Schule?;Turnsaal;Chemiesaal;CISCO-Labor;Konferenzraum;Serverraum;Wahrscheinlich wurde dir dieser Raum nicht gezeigt.;Allgemein;Which room is the biggest in school?;gym;CISCO-Lab;chemistry lab;conference room;server room;No one showed you this room.;General
Seit wie vielen Jahren existiert diese Schule?;21;20;18;24;23;Letzes Jahr war ein rundes Jubiläum.;Entstehungsgeschichte;For how many years school does the school exist?;21;18;20;23;24;We had an anniversary last year.;History
Wie viele Lehrer unterrichten schon von Anfang an?;12;25;5;34;19;Bitte einen Lehrer um Rat.;Entstehungsgeschichte;How many teachers have been teaching since the school first opened?;12;25;5;34;19;Ask a teacher.;History
Wie hieß der erste Direktor?;Hansjörg Trummer;Günter Schweigler;Gerold Haynaly;Gerhard Gugerbauer;Alfred Köppel;Gehe auf Wikipedia.;Entstehungsgeschichte;What is the name of our first headmaster?;Hansjörg Trummer;Günter Schweigler;Gerold Haynaly;Gerhard Gugerbauer;Alfred Köppel;Visit Wikipedia!;History
Was war früher auf dem Turm vor der Schule angebracht?;bunte Lichter;Weihnachtsstern;Werbeplakate;ein großes, weißes Tuch;nichts;Frage einen Lehrer.;Entstehungsgeschichte;What was on the tower in front of the school a long time ago?;colored lights;christmas star;advertisement poster;a big, white cloth;nothing;Ask a teacher.;History
Welche Programmiersprache lernt man bereits im 1. Jahr?;Java;C;C++;C#;Assembler;Lehrer oder Schüler im Spielecorner können dir sicher helfen.;Informatik;What programming language do you learn first?;Java;C;C++;C#;Assembler;The teachers and students at the GamesCorner can help you.;Informatics
